[2017-05-12 14:04:09] account_id:114, channel:default_self, game_id:_self_game, server_id:1
[2017-05-12 14:20:01] account_id:115, channel:default_self, game_id:_self_game, server_id:1
[2017-05-12 14:20:46] account_id:115, channel:default_self, game_id:_self_game, server_id:1
[2017-05-12 14:22:49] account_id:116, channel:default_self, game_id:_self_game, server_id:1
[2017-05-12 14:23:35] account_id:116, channel:default_self, game_id:_self_game, server_id:1
[2017-05-12 14:25:06] account_id:117, channel:default_self, game_id:_self_game, server_id:1
[2017-05-12 14:27:09] account_id:118, channel:default_self, game_id:_self_game, server_id:1
[2017-05-12 14:28:25] account_id:119, channel:default_self, game_id:_self_game, server_id:1
[2017-05-12 14:29:29] account_id:119, channel:default_self, game_id:_self_game, server_id:1
[2017-05-12 14:46:38] account_id:120, channel:default_self, game_id:_self_game, server_id:1
[2017-05-12 14:55:27] account_id:120, channel:default_self, game_id:_self_game, server_id:1
[2017-05-12 14:55:58] account_id:121, channel:default_self, game_id:_self_game, server_id:1
[2017-05-12 14:58:00] account_id:122, channel:default_self, game_id:_self_game, server_id:1
