[2017-05-16 18:00:11] account_id:249, channel:default_self, game_id:_self_game, server_id:1
[2017-05-16 18:00:50] account_id:250, channel:default_self, game_id:_self_game, server_id:1
[2017-05-16 18:03:30] account_id:251, channel:default_self, game_id:_self_game, server_id:1
[2017-05-16 18:05:31] account_id:252, channel:default_self, game_id:_self_game, server_id:1
[2017-05-16 18:17:01] account_id:253, channel:default_self, game_id:_self_game, server_id:1
[2017-05-16 18:23:19] account_id:254, channel:default_self, game_id:_self_game, server_id:1
[2017-05-16 18:24:44] account_id:255, channel:default_self, game_id:_self_game, server_id:1
[2017-05-16 18:27:05] account_id:256, channel:default_self, game_id:_self_game, server_id:1
[2017-05-16 18:28:53] account_id:257, channel:default_self, game_id:_self_game, server_id:1
[2017-05-16 18:31:02] account_id:258, channel:default_self, game_id:_self_game, server_id:1
[2017-05-16 18:31:33] account_id:259, channel:default_self, game_id:_self_game, server_id:1
