[2017-05-08 17:02:35] account_id:43, channel:default_self, game_id:_self_game, server_id:1
[2017-05-08 17:07:57] account_id:44, channel:default_self, game_id:_self_game, server_id:1
[2017-05-08 17:08:36] account_id:45, channel:default_self, game_id:_self_game, server_id:1
[2017-05-08 17:20:27] account_id:47, channel:default_self, game_id:_self_game, server_id:1
[2017-05-08 17:20:54] account_id:48, channel:default_self, game_id:_self_game, server_id:1
[2017-05-08 17:25:44] account_id:49, channel:default_self, game_id:_self_game, server_id:1
[2017-05-08 17:26:28] account_id:50, channel:default_self, game_id:_self_game, server_id:1
[2017-05-08 17:26:56] account_id:51, channel:default_self, game_id:_self_game, server_id:1
[2017-05-08 17:33:15] account_id:52, channel:default_self, game_id:_self_game, server_id:1
[2017-05-08 17:35:21] account_id:53, channel:default_self, game_id:_self_game, server_id:1
[2017-05-08 17:36:06] account_id:54, channel:default_self, game_id:_self_game, server_id:1
