[2017-06-01 11:23:06] account_id:645, channel:default_self, game_id:_self_game, server_id:1
[2017-06-01 11:24:22] account_id:645, channel:default_self, game_id:_self_game, server_id:1
[2017-06-01 11:27:54] account_id:645, channel:default_self, game_id:_self_game, server_id:1
[2017-06-01 11:30:59] account_id:645, channel:default_self, game_id:_self_game, server_id:1
[2017-06-01 11:32:00] account_id:645, channel:default_self, game_id:_self_game, server_id:1
[2017-06-01 11:33:16] account_id:645, channel:default_self, game_id:_self_game, server_id:1
[2017-06-01 11:35:17] account_id:645, channel:default_self, game_id:_self_game, server_id:1
[2017-06-01 11:37:07] account_id:645, channel:default_self, game_id:_self_game, server_id:1
[2017-06-01 11:41:07] account_id:645, channel:default_self, game_id:_self_game, server_id:1
[2017-06-01 11:41:58] account_id:645, channel:default_self, game_id:_self_game, server_id:1
[2017-06-01 11:42:39] account_id:645, channel:default_self, game_id:_self_game, server_id:1
