[2017-05-15 13:03:10] account_id:161, channel:default_self, game_id:_self_game, server_id:1
[2017-05-15 13:15:58] account_id:162, channel:default_self, game_id:_self_game, server_id:1
[2017-05-15 13:18:06] account_id:163, channel:default_self, game_id:_self_game, server_id:1
[2017-05-15 13:40:32] account_id:164, channel:default_self, game_id:_self_game, server_id:1
[2017-05-15 13:42:29] account_id:165, channel:default_self, game_id:_self_game, server_id:1
[2017-05-15 13:44:41] account_id:166, channel:default_self, game_id:_self_game, server_id:1
[2017-05-15 13:44:54] account_id:167, channel:default_self, game_id:_self_game, server_id:1
[2017-05-15 13:49:24] account_id:168, channel:default_self, game_id:_self_game, server_id:1
[2017-05-15 13:49:33] account_id:169, channel:default_self, game_id:_self_game, server_id:1
[2017-05-15 13:50:33] account_id:170, channel:default_self, game_id:_self_game, server_id:1
[2017-05-15 13:52:31] account_id:171, channel:default_self, game_id:_self_game, server_id:1
[2017-05-15 13:53:09] account_id:172, channel:default_self, game_id:_self_game, server_id:1
