[2017-05-24 15:00:11] account_id:448, channel:default_self, game_id:_self_game, server_id:1
[2017-05-24 15:00:18] account_id:449, channel:default_self, game_id:_self_game, server_id:1
[2017-05-24 15:02:34] account_id:450, channel:default_self, game_id:_self_game, server_id:1
[2017-05-24 15:05:02] account_id:451, channel:default_self, game_id:_self_game, server_id:1
[2017-05-24 15:05:33] account_id:452, channel:default_self, game_id:_self_game, server_id:1
[2017-05-24 15:07:03] account_id:453, channel:default_self, game_id:_self_game, server_id:1
[2017-05-24 15:09:11] account_id:454, channel:default_self, game_id:_self_game, server_id:1
[2017-05-24 15:19:43] account_id:455, channel:default_self, game_id:_self_game, server_id:1
[2017-05-24 15:21:37] account_id:456, channel:default_self, game_id:_self_game, server_id:1
[2017-05-24 15:22:10] account_id:457, channel:default_self, game_id:_self_game, server_id:1
[2017-05-24 15:23:26] account_id:458, channel:default_self, game_id:_self_game, server_id:1
[2017-05-24 15:26:34] account_id:459, channel:default_self, game_id:_self_game, server_id:1
[2017-05-24 15:29:50] account_id:460, channel:default_self, game_id:_self_game, server_id:1
[2017-05-24 15:32:51] account_id:461, channel:default_self, game_id:_self_game, server_id:1
[2017-05-24 15:35:34] account_id:462, channel:default_self, game_id:_self_game, server_id:1
[2017-05-24 15:35:43] account_id:463, channel:default_self, game_id:_self_game, server_id:1
[2017-05-24 15:39:51] account_id:464, channel:default_self, game_id:_self_game, server_id:1
[2017-05-24 15:52:09] account_id:465, channel:default_self, game_id:_self_game, server_id:1
[2017-05-24 15:54:16] account_id:466, channel:default_self, game_id:_self_game, server_id:1
