[2017-06-06 14:20:23] account_id:709, channel:default_self, game_id:_self_game, server_id:1
[2017-06-06 14:23:23] account_id:710, channel:default_self, game_id:_self_game, server_id:1
[2017-06-06 14:24:24] account_id:711, channel:default_self, game_id:_self_game, server_id:1
[2017-06-06 14:25:30] account_id:711, channel:default_self, game_id:_self_game, server_id:1
[2017-06-06 14:25:55] account_id:711, channel:default_self, game_id:_self_game, server_id:1
[2017-06-06 14:26:46] account_id:711, channel:default_self, game_id:_self_game, server_id:1
[2017-06-06 14:27:55] account_id:711, channel:default_self, game_id:_self_game, server_id:1
[2017-06-06 14:28:03] account_id:711, channel:default_self, game_id:_self_game, server_id:1
[2017-06-06 14:29:58] account_id:711, channel:default_self, game_id:_self_game, server_id:1
[2017-06-06 14:30:45] account_id:711, channel:default_self, game_id:_self_game, server_id:1
[2017-06-06 14:31:31] account_id:711, channel:default_self, game_id:_self_game, server_id:1
[2017-06-06 14:56:59] account_id:711, channel:default_self, game_id:_self_game, server_id:1
[2017-06-06 14:57:21] account_id:711, channel:default_self, game_id:_self_game, server_id:1
[2017-06-06 14:57:47] account_id:711, channel:default_self, game_id:_self_game, server_id:1
